draw,budget_tCO2,overshoot_tCO2,responsibility_share,equality_share,capability_share
2208,261101424.97584593,38898575.02469975,0.016497139117826413,0.007,0.015464155959896968
2209,232259080.91316047,67740919.0873852,0.016497139117826413,0.007,0.016288968931207213
2210,247638175.6996543,52361824.30089137,0.016497139117826413,0.007,0.016671213405231162
2211,242717105.05440247,57282894.94614321,0.016497139117826413,0.007,0.016328828312310938
2212,232358659.88689733,67641340.11364836,0.016497139117826413,0.007,0.017425823412777312
2213,235495012.64566776,64504987.35487792,0.016497139117826413,0.007,0.016196618399071834
2214,258657229.0250759,41342770.97546977,0.016497139117826413,0.007,0.017175614839187652
2215,251852626.86826253,48147373.13228315,0.016497139117826413,0.007,0.01630723197128868
2216,260732245.75888324,39267754.24166244,0.016497139117826413,0.007,0.016820991413271216
2217,251163014.57878423,48836985.42176145,0.016497139117826413,0.007,0.016383313996625116
2218,279096792.609411,24684862.10706556,0.016497139117826413,0.007,0.018310940536141115
2219,257868140.6551054,42131859.34544027,0.016497139117826413,0.007,0.015675237881526312
2220,244288058.0062317,55711941.994313985,0.016497139117826413,0.007,0.016092021150236783
2221,240339456.48435304,59660543.516192645,0.016497139117826413,0.007,0.015235077114471068
2222,248830882.19906083,51169117.80148485,0.016497139117826413,0.007,0.01700185889022407
2223,264911607.81164622,35088392.18889946,0.016497139117826413,0.007,0.016924775092574257
2224,254190027.69600213,45809972.304543555,0.016497139117826413,0.007,0.016621422502026334
2225,255613731.18225208,44386268.8182936,0.016497139117826413,0.007,0.016339826255028375
2226,260932285.4434197,39067714.557125986,0.016497139117826413,0.007,0.017231534194253682
2227,245519522.97890806,54480477.02163762,0.016497139117826413,0.007,0.015462103997721287
2228,273785396.1476082,26214603.85293746,0.016497139117826413,0.007,0.018868232154713387
2229,254952822.5412107,45047177.45933497,0.016497139117826413,0.007,0.01671458959439814
2230,243855440.85343415,56144559.147111535,0.016497139117826413,0.007,0.01684348871257449
2231,250790000.6687975,49209999.33174819,0.016497139117826413,0.007,0.01571895845529319
2232,258702883.14157182,41297116.85897386,0.016497139117826413,0.007,0.015738602392056208
2233,238372734.1433357,61627265.85720998,0.016497139117826413,0.007,0.016277787228107046
2234,234278929.42161414,65721070.57893154,0.016497139117826413,0.007,0.016146518594598685
2235,231275220.96580458,68724779.0347411,0.016497139117826413,0.007,0.01621816061359622
2236,252186763.23375604,47813236.766789645,0.016497139117826413,0.007,0.015680785329298015
2237,258809537.74407774,41190462.25646794,0.016497139117826413,0.007,0.01635900103457884
2238,250491712.39408457,49508287.60646111,0.016497139117826413,0.007,0.015550837843403812
2239,236235513.74305236,63764486.25749332,0.016497139117826413,0.007,0.016884620463578474
2240,259202863.77196905,40797136.22857663,0.016497139117826413,0.007,0.016668081057407125
2241,251797706.21086633,48202293.78967935,0.016497139117826413,0.007,0.01630184575573062
2242,262377241.59498826,37622758.405557424,0.016497139117826413,0.007,0.016086762251015244
2243,252760715.10984284,47239284.89070284,0.016497139117826413,0.007,0.017451363368489445
2244,220454913.4439268,79545086.55661887,0.016497139117826413,0.007,0.015148669042128318
2245,249610632.4296672,50389367.570878476,0.016497139117826413,0.007,0.016875663231487405
2246,263763660.31635562,36236339.684190065,0.016497139117826413,0.007,0.01641260513082371
2247,267976037.3887735,32023962.61177218,0.016497139117826413,0.007,0.017594080054421
2248,261474671.38997847,38525328.61056721,0.016497139117826413,0.007,0.01744422464550176
2249,264996524.68596488,35003475.3145808,0.016497139117826413,0.007,0.015569149878934199
2250,236422722.73454458,63577277.266001105,0.016497139117826413,0.007,0.016365625652353916
2251,249401015.9766991,50598984.02384657,0.016497139117826413,0.007,0.015493891142072076
2252,225010279.11414915,74989720.88639653,0.016497139117826413,0.007,0.015905314438039414
2253,252482254.8469029,47517745.15364277,0.016497139117826413,0.007,0.016535125776565993
2254,272933630.77251446,27066369.228031218,0.016497139117826413,0.007,0.017261323538933438
2255,242926554.67820737,57073445.32233831,0.016497139117826413,0.007,0.01670520366641493
2256,253831242.52835757,46168757.472188115,0.016497139117826413,0.007,0.017012370631955587
2257,253879367.4689725,46120632.53157318,0.016497139117826413,0.007,0.017679419477090057
2258,269773759.2426418,30226240.757903874,0.016497139117826413,0.007,0.017428868639414587
2259,255244974.5164139,44755025.48413178,0.016497139117826413,0.007,0.01615803488997136
2260,245698936.17647496,54301063.82407072,0.016497139117826413,0.007,0.015345684051983
2261,233552683.02351558,66447316.9770301,0.016497139117826413,0.007,0.015688377761087512
2262,250673674.40793383,49326325.59261185,0.016497139117826413,0.007,0.016039156004972747
2263,243639593.53532803,56360406.46521765,0.016497139117826413,0.007,0.015450725494659414
2264,248154176.25662744,51845823.74391824,0.016497139117826413,0.007,0.016424136368456858
2265,251336864.3516132,48663135.64893249,0.016497139117826413,0.007,0.017002696923994153
2266,252291389.53541753,47708610.46512815,0.016497139117826413,0.007,0.01681674209981491
2267,262303226.7028575,37696773.297688186,0.016497139117826413,0.007,0.016929730915763958
2268,242560296.55304763,57439703.44749805,0.016497139117826413,0.007,0.01595577049898756
2269,243217291.8241886,56782708.17635709,0.016497139117826413,0.007,0.016294421605803387
2270,255253288.2093016,44746711.79124409,0.016497139117826413,0.007,0.016375506841786052
2271,244629845.76496983,55370154.235575855,0.016497139117826413,0.007,0.017807653348442563
2272,241993735.07697836,58006264.923567325,0.016497139117826413,0.007,0.015599295706629289
2273,251372693.54974553,48627306.45080015,0.016497139117826413,0.007,0.015562138205055314
2274,244575740.49522024,55424259.50532544,0.016497139117826413,0.007,0.015987134617036127
2275,271928797.0030604,28071202.99748528,0.016497139117826413,0.007,0.0169554545790269
2276,267840600.90030786,32159399.100237817,0.016497139117826413,0.007,0.015687175578037307
2277,247845244.51978135,52154755.48076433,0.016497139117826413,0.007,0.017706495486459577
2278,238257110.69693172,61742889.30361396,0.016497139117826413,0.007,0.016801742130222428
2279,252160134.05670282,47839865.94384286,0.016497139117826413,0.007,0.017089245948228058
2280,247640190.5951711,52359809.40537459,0.016497139117826413,0.007,0.01646311996002815
2281,270810460.9563616,29189539.04418409,0.016497139117826413,0.007,0.01605980584934759
2282,237782202.1509709,62217797.849574775,0.016497139117826413,0.007,0.015882584977705238
2283,250795288.40755865,49204711.59298703,0.016497139117826413,0.007,0.01754645658958953
2284,251753554.5996822,48246445.40086347,0.016497139117826413,0.007,0.014601398459568973
2285,252244620.9765892,47755379.02395648,0.016497139117826413,0.007,0.01559372487657904
2286,256034788.77788574,43965211.222659945,0.016497139117826413,0.007,0.016854857230150875
2287,277545402.08825135,24804199.839492798,0.016497139117826413,0.007,0.016940616284378655
2288,238428925.6384072,61571074.36213848,0.016497139117826413,0.007,0.01679286178618217
2289,256587222.54142094,43412777.459124744,0.016497139117826413,0.007,0.015783302451685063
2290,250894628.31018168,49105371.690364,0.016497139117826413,0.007,0.016129386003511003
2291,230591714.37521812,69408285.62532756,0.016497139117826413,0.007,0.016065427617508298
2292,254270675.8148421,45729324.185703576,0.016497139117826413,0.007,0.015843800736418796
2293,267900547.23694307,32099452.763602614,0.016497139117826413,0.007,0.017235814170489354
2294,251648798.71858826,48351201.28195742,0.016497139117826413,0.007,0.01847477141348854
2295,258692404.96107984,41307595.039465845,0.016497139117826413,0.007,0.01642273572553462
2296,237216965.57554734,62783034.42499834,0.016497139117826413,0.007,0.017270412498032156
2297,254433206.73508835,45566793.26545733,0.016497139117826413,0.007,0.018384135282053255
2298,256282129.9991161,43717870.00142959,0.016497139117826413,0.007,0.016579001156265608
2299,234128280.47654486,65871719.52400082,0.016497139117826413,0.007,0.01637237573536726
2300,231894403.86845446,68105596.13209122,0.016497139117826413,0.007,0.015928470929183265
2301,259281575.7310766,40718424.26946908,0.016497139117826413,0.007,0.017014761339434473
2302,267690907.53484893,32309092.465696752,0.016497139117826413,0.007,0.01865934403491335
2303,276224844.3740164,24905781.20191717,0.016497139117826413,0.007,0.01737010817903718
2304,264698333.5377186,35301666.46282709,0.016497139117826413,0.007,0.01675269257716734
2305,255405413.42890182,44594586.57164386,0.016497139117826413,0.007,0.016582372349132023
2306,242497590.395471,57502409.605074674,0.016497139117826413,0.007,0.0167717503290763
2307,247529883.5509583,52470116.449587375,0.016497139117826413,0.007,0.017651074728129164
2308,257266770.63616347,42733229.36438221,0.016497139117826413,0.007,0.016114823974816325
2309,243945782.70256582,56054217.29797986,0.016497139117826413,0.007,0.015567798309828742
2310,272517067.75287294,27482932.247672737,0.016497139117826413,0.007,0.01679702843915068
2311,252667739.42999113,47332260.570554554,0.016497139117826413,0.007,0.0174690182561133
2312,254854573.69819036,45145426.30235532,0.016497139117826413,0.007,0.01651167100468222
2313,245176358.45416647,54823641.54637921,0.016497139117826413,0.007,0.015987697390996473
2314,245612381.66801634,54387618.332529336,0.016497139117826413,0.007,0.016224896705706024
2315,268726510.69358414,31273489.306961536,0.016497139117826413,0.007,0.016592120403672226
2316,242336683.78808847,57663316.21245721,0.016497139117826413,0.007,0.016087620684530048
2317,253624052.5672953,46375947.43325037,0.016497139117826413,0.007,0.017698402061549524
2318,252639160.97185537,47360839.02869031,0.016497139117826413,0.007,0.01723759928130031
2319,252661961.72039175,47338038.28015393,0.016497139117826413,0.007,0.017028776996322166
2320,254342355.0996716,45657644.90087408,0.016497139117826413,0.007,0.01655811999587802
2321,268255348.72263598,31744651.277909696,0.016497139117826413,0.007,0.01701538910606699
2322,234014017.20034206,65985982.80020362,0.016497139117826413,0.007,0.015076798726616124
2323,256215721.13762662,43784278.86291906,0.016497139117826413,0.007,0.01710826395532645
2324,250611562.8084707,49388437.192074984,0.016497139117826413,0.007,0.015161984602431575
2325,240867988.3357221,59132011.66482359,0.016497139117826413,0.007,0.01693682361834201
2326,260829795.5313021,39170204.469243586,0.016497139117826413,0.007,0.01661886054432131
2327,243986372.10232136,56013627.898224324,0.016497139117826413,0.007,0.016888347811259644
2328,265308304.90309548,34691695.0974502,0.016497139117826413,0.007,0.016918259906723083
2329,242409390.7577769,57590609.242768794,0.016497139117826413,0.007,0.016013107327899758
2330,253014190.17669034,46985809.82385534,0.016497139117826413,0.007,0.016525426406009448
2331,244618152.01387587,55381847.98666981,0.016497139117826413,0.007,0.015293954949116478
2332,278256681.02152246,24749486.075123608,0.016497139117826413,0.007,0.016789970455979512
2333,263968882.23868313,36031117.761862546,0.016497139117826413,0.007,0.01736741176012926
2334,237704312.88034832,62295687.120197356,0.016497139117826413,0.007,0.016321203840542597
2335,253834319.88113314,46165680.11941254,0.016497139117826413,0.007,0.015560076804299938
2336,244931179.68590176,55068820.31464392,0.016497139117826413,0.007,0.014807016953050397
2337,256035436.3602841,43964563.64026159,0.016497139117826413,0.007,0.01723944699487021
2338,249190071.5236653,50809928.47688037,0.016497139117826413,0.007,0.016410550920497462
2339,261385513.831672,38614486.16887367,0.016497139117826413,0.007,0.016252709287237734
2340,245922626.03876913,54077373.961776555,0.016497139117826413,0.007,0.017463845552263695
2341,251545684.7133915,48454315.28715417,0.016497139117826413,0.007,0.01644828698685282
2342,261160403.78411043,38839596.21643525,0.016497139117826413,0.007,0.017327238719397363
2343,263571512.33876705,36428487.66177863,0.016497139117826413,0.007,0.01652225787863069
2344,236179820.08775115,63820179.91279453,0.016497139117826413,0.007,0.016122003669007075
2345,269264162.6611221,30735837.339423597,0.016497139117826413,0.007,0.017777262316961154
2346,249667907.25705266,50332092.74349302,0.016497139117826413,0.007,0.017260087437701712
